118 谍影重重3 8.7 124368人评价  像吃了苏打饼一样干脆的电影。
119 猫鼠游戏 8.6 140830人评价  骗子大师和执著警探的你追我跑故事。 
120 怪兽电力公司 8.5 166603人评价  不要给它起名字，起了名字就有感情了。
121 倩女幽魂 8.5 173348人评价  两张绝世的脸。 
122 卢旺达饭店 8.8 82168人评价  当这个世界闭上双眼，他却敞开了怀抱。
123 秒速5厘米 8.5 200627人评价  青春就是放弃和怀念。
124 我是山姆 8.8 73874人评价  爱并不需要智商 。
125 雨中曲 8.9 68094人评价  骨灰级歌舞片。
126 玩具总动员3 8.8 152069人评价  跨度十五年的欢乐与泪水。
127 碧海蓝天 8.7 88939人评价  在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
128 人工智能 8.6 142600人评价  对爱的执着，可以超越一切。
129 疯狂原始人 8.8 276169人评价  老少皆宜，这就是好莱坞动画的魅力。
130 穿条纹睡衣的男孩 8.8 84738人评价  尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
131 撞车 8.6 131521人评价  天使与魔鬼的冲撞。
132 海盗电台 8.7 137615人评价  生命不止，摇滚不死。
133 教父3 8.7 90688人评价  任何信念的力量，都无法改变命运。
134 香水 8.4 205487人评价  一个单凭体香达到高潮的男人。
135 辩护人 9.1 98796人评价  NO COMMENTS
136 傲慢与偏见 8.4 220464人评价  爱是摈弃傲慢与偏见之后的曙光。
137 纵横四海 8.7 95433人评价  香港浪漫主义警匪动作片的巅峰之作。
138 英雄本色 8.7 97626人评价  英雄泪短，兄弟情长。 
139 冰川时代 8.4 208547人评价  松鼠才是角儿。
140 完美的世界 9.0 50737人评价  坏人的好总是比好人的好来得更感人。
141 哈利·波特与魔法石 8.5 162522人评价  童话世界的开端。
142 迁徙的鸟 9.1 43318人评价  最美的飞翔。
143 浪潮 8.7 84367人评价  世界离独裁只有五天。
144 杀人回忆 8.5 126645人评价  关于连环杀人悬案的集体回忆。
145 荒野生存 8.7 94784人评价  出门必备：本草纲目。
146 末代皇帝 8.6 98675人评价  “不要跟我比惨，我比你更惨”再适合这部电影不过了。
147 黑天鹅 8.5 316161人评价  黑暗之美。
148 可可西里 8.6 97553人评价  坚硬的信仰。
149 狩猎 9.0 57413人评价  NO COMMENTS
150 梦之安魂曲 8.7 74880人评价  一场没有春天的噩梦。
151 喜宴 8.7 86434人评价  中国家庭的喜怒哀乐忍。
152 追随 9.0 48389人评价  诺兰的牛逼来源于内心散发出的恐惧。
153 控方证人 9.5 24616人评价  NO COMMENTS
154 朗读者 8.4 220923人评价  当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
155 战争之王 8.5 131267人评价  做一颗让别人需要你的棋子。
156 燕尾蝶 8.7 86487人评价  现实与童话交相辉映的旅程。
157 罗生门 8.7 81596人评价  人生的N种可能性。
158 一次别离 8.7 95272人评价  只有有信仰的人才能说出事实真相。
159 绿里奇迹 8.7 77602人评价  天使暂时离开。
160 素媛 9.0 84333人评价  NO COMMENTS
161 红辣椒 8.7 69426人评价  梦的勾结。
162 叫我第一名 8.7 80387人评价  乐观比一切都有力量。
163 萤火之森 8.8 95816人评价  触不到的恋人。
164 勇闯夺命岛 8.5 107275人评价  类型片的极致。 
165 卡萨布兰卡 8.6 92084人评价  与同名歌曲无关。
166 英国病人 8.4 138672人评价  In memory, love lives forever...
167 地球上的星星 8.8 52143人评价  天使保护事件始末。
168 穆赫兰道 8.4 163597人评价  大卫·林奇的梦境迷宫。
169 两小无猜 8.3 258273人评价  Love me, if you dare. 
170 E.T. 外星人 8.5 114115人评价  生病的E.T.皮肤的颜色就像柿子饼。
171 哈利·波特与死亡圣器(下) 8.6 202220人评价  10年的完美句点。
172 谍影重重 8.4 130459人评价  NO COMMENTS
173 变脸 8.4 165448人评价  当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
174 曾经 8.4 154286人评价  有些幸福无关爱情。
175 惊魂记 8.8 52296人评价  故事的反转与反转，分裂电影的始祖。
176 上帝也疯狂 8.6 72546人评价  纯净原始的笑与感动。
